"排名","名称","ball","party","tree","rand","总分"
"1","std","100","100","100","0","300"
"2","HA-002","100","20","50","20","190"
"2","HA-005","100","20","50","20","190"
"4","HA-007","60","20","50","20","150"
"5","YZ-013","100","20","20","0","140"
"6","HA-015","100","20","0","0","120"
"6","YZ-008","100","20","0","0","120"
"6","YZ-012","100","20","0","0","120"
"9","HA-004","80","20","0","0","100"
"9","TZ-015","80","20","0","0","100"
"11","HA-003","50","20","0","20","90"
"12","HA-006","40","20","0","0","60"
"12","HA-011","40","20","0","0","60"
"14","HA-009","30","20","0","0","50"
"14","HA-010","10","20","20","0","50"
"14","TZ-011","30","20","0","0","50"
"17","HA-008","20","20","0","0","40"
"17","HA-013","20","20","0","0","40"
"17","HA-016","20","20","0","0","40"
"17","TZ-001","20","20","0","0","40"
"21","HA-012","10","20","0","0","30"
"21","YZ-015","10","20","0","0","30"
"23","HA-014","20","0","0","0","20"
"23","TZ-002","0","20","0","0","20"
"23","YZ-009","0","20","0","0","20"
"26","HA-017","0","0","0","0","0"
"26","TZ-008","0","0","0","0","0"
"26","YZ-007","0","0","0","0","0"
"26","YZ-014","0","0","0","0","0"
